Epoch,Learning Rate,Training Loss,Validation Accuracy
1,1e-06,1.100033837887976,91.5104751586914
2,1e-06,1.0972408478458722,91.3507080078125
3,1e-06,1.0990387428965833,91.46498107910156
4,1e-06,1.0994332627289825,91.47714233398438
5,1e-06,1.100161849003699,91.68275451660156
