Epoch,Learning Rate,Training Loss,Validation Accuracy
1,0.0001,16.341312833475026,34.71788787841797
2,0.0001,12.190406368586773,39.075077056884766
3,0.0001,11.170480785805147,39.23872375488281
4,0.0001,10.967829409866049,39.21957778930664
5,0.0001,10.76134906877967,39.241703033447266
6,0.0001,10.57567090907077,38.165836334228516
7,0.0001,10.441432377240668,39.25231170654297
8,0.0001,10.341401758980966,39.2425651550293
9,0.0001,10.27621979075489,39.25178527832031
10,0.0001,10.183230196712813,39.23432540893555
11,0.0001,10.033243973897088,39.28278732299805
12,0.0001,9.999383159079521,39.239654541015625
13,0.0001,9.931961669577992,39.21211242675781
14,0.0001,9.797044629379757,39.28644943237305
15,0.0001,9.72743955708515,39.29219055175781
16,0.0001,9.723108398495858,39.1732292175293
17,0.0001,9.629457344719448,39.21501922607422
18,0.0001,9.55974735296705,38.70654296875
19,0.0001,9.618217077953421,39.25642776489258
20,0.0001,9.5694944428293,39.19200134277344
21,0.0001,9.489973309288786,39.05618667602539
22,0.0001,9.356804572831475,39.256988525390625
23,0.0001,9.444156071007546,39.183250427246094
24,0.0001,9.267134404773271,38.88372802734375
25,0.0001,9.449269189692357,39.25775909423828
26,0.0001,9.211913430505462,39.19828414916992
27,0.0001,9.092897149889795,39.19568634033203
28,0.0001,8.94050037639994,44.343631744384766
29,0.0001,8.886023424184508,48.52063751220703
30,0.0001,8.601740262367597,49.7052001953125
31,0.0001,8.500983304874142,51.07112503051758
32,0.0001,7.974561850076766,51.037967681884766
33,0.0001,8.03376062999226,51.54209899902344
34,0.0001,7.826150112688243,51.47746658325195
35,0.0001,7.594543581953598,51.48936462402344
36,0.0001,7.495701086498418,51.70635986328125
37,0.0001,7.401914814373703,51.99295425415039
38,0.0001,7.475355432459484,52.71999740600586
39,0.0001,7.4003827849007005,54.92855453491211
40,0.0001,7.37325659883617,53.70315170288086
41,0.0001,7.177388007267142,54.78460693359375
42,0.0001,6.983132105485312,55.00029373168945
43,0.0001,6.684692821986864,60.16670608520508
44,0.0001,6.61434303399583,58.598304748535156
45,0.0001,6.458395144166981,60.24889373779297
46,0.0001,6.317405570794575,60.3749885559082
47,0.0001,6.095507093269931,62.49393844604492
48,0.0001,6.003307422825892,61.719459533691406
49,0.0001,5.849045502369544,62.407535552978516
50,0.0001,5.875683304192414,60.76388931274414
51,0.0001,5.700218565525343,62.54197311401367
52,0.0001,5.684920816288659,62.001712799072266
53,0.0001,5.649736807526582,63.10415267944336
54,0.0001,5.4803092619478315,63.25841522216797
55,0.0001,5.583601334655658,62.399845123291016
56,0.0001,5.589930200716683,63.78023147583008
57,0.0001,5.480601793889175,62.62211608886719
58,0.0001,5.3239304413934905,65.03433227539062
59,0.0001,5.230919174212091,65.77032470703125
60,0.0001,5.25825721807991,64.39608764648438
61,0.0001,6.376762967510272,57.67578887939453
62,0.0001,6.47661871466883,60.826438903808594
63,0.0001,5.653808435546689,63.47920227050781
64,0.0001,5.321386984217663,64.55598449707031
65,0.0001,5.287192615000148,66.70661163330078
66,0.0001,5.0645863962220306,66.24330139160156
67,0.0001,5.05714188227787,67.0263671875
68,0.0001,4.971676890833395,66.39921569824219
69,0.0001,4.895766763518794,66.26175689697266
70,0.0001,4.876190494037554,66.58805847167969
71,0.0001,4.93758024041061,64.03661346435547
72,0.0001,5.058774676038655,66.81233215332031
73,0.0001,4.825036784570015,67.54129791259766
74,0.0001,4.772851967953278,67.1714096069336
75,0.0001,4.705479995311076,67.90640258789062
76,0.0001,4.598616647016231,68.55172729492188
77,0.0001,4.541768463321402,68.56707000732422
78,0.0001,4.498188723730122,67.85320281982422
79,0.0001,4.43377738998819,68.1375503540039
80,0.0001,4.461127328783249,67.93292999267578
81,0.0001,4.590543400681007,67.7033920288086
82,0.0001,4.638937826200259,67.74284362792969
83,0.0001,4.496301905936282,67.9567642211914
84,0.0001,4.381173936745926,68.61404418945312
85,0.0001,4.328270552200752,68.41494750976562
86,0.0001,4.2477537302942885,68.77946472167969
87,0.0001,4.19741867496727,68.63203430175781
88,0.0001,4.154335126142171,68.73336029052734
89,0.0001,4.114963604574744,68.49650573730469
90,0.0001,4.066417326574199,69.63644409179688
91,0.0001,4.066065346837823,69.34503173828125
92,0.0001,4.064243483775714,69.17654418945312
93,0.0001,4.046299182106211,69.60614776611328
94,0.0001,3.983664567577493,69.1250228881836
95,0.0001,3.966814560941327,69.85748291015625
96,0.0001,3.8985365017799865,69.34315490722656
97,0.0001,3.9064523395226955,68.78530883789062
98,0.0001,3.8748930262222916,70.17401885986328
99,0.0001,3.8547987309623206,69.72147369384766
100,0.0001,3.8159739264214365,69.472412109375
101,0.0001,3.825763879416944,69.643798828125
102,1.0000000000000002e-06,3.696327594519443,70.0207290649414
103,1.0000000000000002e-06,3.669027590056116,69.69055938720703
104,1.0000000000000002e-06,3.676939438104882,70.04029083251953
105,1.0000000000000002e-06,3.6316719804524515,69.57205963134766
106,1.0000000000000002e-06,3.6438119853019044,70.12545776367188
107,1.0000000000000002e-06,3.614953745657417,70.2042007446289
108,1.0000000000000002e-06,3.6004569812733176,69.9029541015625
109,1.0000000000000002e-06,3.580928661694907,70.30146789550781
